"cases","resp","participant_id"
"X2=1|Y=0,X1=0",0.184459839509288,"synth_1"
"X2=1|Y=1,X1=0",0.647185639838848,"synth_1"
"X2=1|X1=0",0.345734530088184,"synth_1"
"X2=1|Y=0,X1=1",0.397953306720008,"synth_1"
"X2=1|Y=1,X1=1",0.6515474454551,"synth_1"
"X2=1|X1=1",0.64966253830656,"synth_1"
"X2=1|Y=0",0.153157393395898,"synth_1"
"X2=1|Y=1",0.692155488674998,"synth_1"
"X2=1|Y=0,X1=0",0.373041275845932,"synth_2"
"X2=1|Y=1,X1=0",0.669090016086007,"synth_2"
"X2=1|X1=0",0.411944255192274,"synth_2"
"X2=1|Y=0,X1=1",0.44903391270337,"synth_2"
"X2=1|Y=1,X1=1",0.769239852062892,"synth_2"
"X2=1|X1=1",0.707696722458666,"synth_2"
"X2=1|Y=0",0.376193170916744,"synth_2"
"X2=1|Y=1",0.75351584253425,"synth_2"
"X2=1|Y=0,X1=0",0.314798105932592,"synth_3"
"X2=1|Y=1,X1=0",0.663189247077394,"synth_3"
"X2=1|X1=0",0.411938786105389,"synth_3"
"X2=1|Y=0,X1=1",0.428969891632402,"synth_3"
"X2=1|Y=1,X1=1",0.79427142126508,"synth_3"
"X2=1|X1=1",0.73138708223384,"synth_3"
"X2=1|Y=0",0.36301935942771,"synth_3"
"X2=1|Y=1",0.788790469297297,"synth_3"
"X2=1|Y=0,X1=0",0.290431760385015,"synth_4"
"X2=1|Y=1,X1=0",0.568192837751092,"synth_4"
"X2=1|X1=0",0.246175159517346,"synth_4"
"X2=1|Y=0,X1=1",0.232071532914445,"synth_4"
"X2=1|Y=1,X1=1",0.746881604714776,"synth_4"
"X2=1|X1=1",0.671205914970141,"synth_4"
"X2=1|Y=0",0.206007383510028,"synth_4"
"X2=1|Y=1",0.661532207672067,"synth_4"
"X2=1|Y=0,X1=0",0.271011743992497,"synth_5"
"X2=1|Y=1,X1=0",0.525321935771457,"synth_5"
"X2=1|X1=0",0.310420520066803,"synth_5"
"X2=1|Y=0,X1=1",0.41630426519609,"synth_5"
"X2=1|Y=1,X1=1",0.676704584844878,"synth_5"
"X2=1|X1=1",0.647054432792092,"synth_5"
"X2=1|Y=0",0.263690019004331,"synth_5"
"X2=1|Y=1",0.638619906934516,"synth_5"
"X2=1|Y=0,X1=0",0.244404943022243,"synth_6"
"X2=1|Y=1,X1=0",0.581749351287659,"synth_6"
"X2=1|X1=0",0.355832064452399,"synth_6"
"X2=1|Y=0,X1=1",0.392334726923578,"synth_6"
"X2=1|Y=1,X1=1",0.73004613624913,"synth_6"
"X2=1|X1=1",0.666731803736318,"synth_6"
"X2=1|Y=0",0.271532935733335,"synth_6"
"X2=1|Y=1",0.733456675928086,"synth_6"
"X2=1|Y=0,X1=0",0.229196847855614,"synth_7"
"X2=1|Y=1,X1=0",0.535261959022745,"synth_7"
"X2=1|X1=0",0.257700047079377,"synth_7"
"X2=1|Y=0,X1=1",0.223713210663073,"synth_7"
"X2=1|Y=1,X1=1",0.638842305223884,"synth_7"
"X2=1|X1=1",0.517685675487323,"synth_7"
"X2=1|Y=0",0.0701950712304564,"synth_7"
"X2=1|Y=1",0.621570594440639,"synth_7"
"X2=1|Y=0,X1=0",0.160958540180078,"synth_8"
"X2=1|Y=1,X1=0",0.553788938772346,"synth_8"
"X2=1|X1=0",0.286133622446152,"synth_8"
"X2=1|Y=0,X1=1",0.206331319659013,"synth_8"
"X2=1|Y=1,X1=1",0.485881871772835,"synth_8"
"X2=1|X1=1",0.488604636729157,"synth_8"
"X2=1|Y=0",0.204007779398156,"synth_8"
"X2=1|Y=1",0.605598109570621,"synth_8"
"X2=1|Y=0,X1=0",0.23044297199733,"synth_9"
"X2=1|Y=1,X1=0",0.599554861129172,"synth_9"
"X2=1|X1=0",0.244737164198374,"synth_9"
"X2=1|Y=0,X1=1",0.337254044744343,"synth_9"
"X2=1|Y=1,X1=1",0.703077123838916,"synth_9"
"X2=1|X1=1",0.583261466025119,"synth_9"
"X2=1|Y=0",0.13732532965808,"synth_9"
"X2=1|Y=1",0.697494973606949,"synth_9"
"X2=1|Y=0,X1=0",0.252600113509394,"synth_10"
"X2=1|Y=1,X1=0",0.49679880484629,"synth_10"
"X2=1|X1=0",0.248096715412024,"synth_10"
"X2=1|Y=0,X1=1",0.363585084850474,"synth_10"
"X2=1|Y=1,X1=1",0.688114126233941,"synth_10"
"X2=1|X1=1",0.56524146766485,"synth_10"
"X2=1|Y=0",0.169009223707788,"synth_10"
"X2=1|Y=1",0.671201829304929,"synth_10"
